c_mot;c_lemme;c_morpho
abêtis;abêtir;ver
abêtissait;abêtir;ver
abêtissement;abêtissement;nom
abêtit;abêtir;ver
abhorrais;abhorrer;ver
abhorrait;abhorrer;ver
abhorrant;abhorrer;ver
abhorre;abhorrer;ver
abhorré;abhorrer;ver
abhorrée;abhorré;adj
abhorrer;abhorrer;ver
abhorrés;abhorrer;ver
abhorrez;abhorrer;ver
abîma;abîmer;ver
abîmai;abîmer;ver
abîmaient;abîmer;ver
abîmait;abîmer;ver
abîmant;abîmer;ver
abîme;abîme;nom
abîmé;abîmer;ver
abîmée;abîmer;ver
abîmées;abîmer;ver
abîment;abîmer;ver
abîmer;abîmer;ver
abîmera;abîmer;ver
abîmerai;abîmer;ver
abîmerais;abîmer;ver
abîmerait;abîmer;ver
abîmeras;abîmer;ver
abîmerez;abîmer;ver
abîmeront;abîmer;ver
abîmes;abîme;nom
abîmés;abîmer;ver
abîmez;abîmer;ver
abîmions;abîmer;ver
abîmons;abîmer;ver
abject;abject;adj
abjecte;abject;adj
abjectement;abjectement;adv
abjectes;abject;adj
abjection;abjection;nom
abjections;abjection;nom
abjects;abject;adj
abjurant;abjurer;ver
abjuration;abjuration;nom
abjurations;abjuration;nom
abjure;abjurer;ver
abjuré;abjurer;ver
abjurer;abjurer;ver
abjurez;abjurer;ver
abjurons;abjurer;ver
abkhaze;abkhaze;adj
ablatif;ablatif;nom
ablation;ablation;nom
ablations;ablation;nom
able;able;nom
ablette;ablette;nom
ablettes;ablette;nom
ablution;ablution;nom
ablutions;ablution;nom
abnégation;abnégation;nom
aboi;aboi;nom
aboie;aboyer;ver
aboiement;aboiement;nom
aboiements;aboiement;nom
aboient;aboyer;ver
aboiera;aboyer;ver
aboierait;aboyer;ver
aboieront;aboyer;ver
aboies;aboyer;ver
abois;aboi;nom
aboli;abolir;ver
abolie;aboli;adj
abolies;abolir;ver
abolir;abolir;ver
abolira;abolir;ver
abolirait;abolir;ver
aboliras;abolir;ver
abolis;abolir;ver
abolissaient;abolir;ver
abolissais;abolir;ver
abolissait;abolir;ver
abolissant;abolir;ver
abolissent;abolir;ver
abolissions;abolir;ver
abolissons;abolir;ver
abolit;abolir;ver
abolition;abolition;nom
abolitionniste;abolitionniste;nom
abolitionnistes;abolitionniste;nom
abominable;abominable;adj
abominablement;abominablement;adv
abominables;abominable;adj
abominaient;abominer;ver
abomination;abomination;nom
abominations;abomination;nom
abomine;abominer;ver
abominer;abominer;ver
abonda;abonder;ver
abondai;abonder;ver
abondaient;abonder;ver
abondais;abonder;ver
abondait;abonder;ver
abondamment;abondamment;adv
abondance;abondance;nom
abondant;abondant;adj
