dic_mot;dic_norm;dic_morpho
anti-conformiste;anti_conformiste;NOM
anti-conglutinatif;anti_conglutinatif;ADJ
anti-corps;anti_corps;NOM
anti-corruption;anti_corruption;NOM
anti-crash;anti_crash;NOM
anti-crime;anti_crime;NOM
anti-criminalité;anti_criminalité;NOM
anti-célibataires;anti_célibataire;ADJ
anti-dauphins;anti_dauphin;NOM
anti-desperado;anti_desperado;NOM
anti-dieu;anti_dieu;NOM
anti-discrimination;anti_discrimination;NOM
anti-dopage;anti_dopage;NOM
anti-douleur;anti_douleur;NOM
anti-douleurs;anti_douleur;NOM
anti-drague;anti_drague;NOM
anti-dramatique;anti_dramatique;ADJ
anti-drogue;anti_drogue;NOM
anti-drogues;anti_drogue;NOM
anti-débauche;anti_débauche;NOM
anti-démocratique;anti_démocratique;ADJ
anti-démocratiques;anti_démocratique;ADJ
anti-démon;anti_démon;NOM
anti-espionnes;anti_espionne;NOM
anti-establishment;anti_establishment;NOM
anti-existence;anti_existence;NOM
anti-explosion;anti_explosion;NOM
anti-fantômes;anti_fantôme;NOM
anti-fasciste;anti_fasciste;ADJ
anti-femme;anti_femme;NOM
anti-flingage;anti_flingage;NOM
anti-flip;anti_flip;NOM
anti-frigo;anti_frigo;NOM
anti-fusionnel;anti_fusionnel;ADJ
anti-fusées;anti_fusée;NOM
anti-féministe;anti_féministe;NOM
anti-g;anti_g;ADJ
anti-gang;anti_gang;NOM
anti-gel;anti_gel;NOM
anti-gerce;anti_gerce;NOM
anti-gouvernement;anti_gouvernement;NOM
anti-graffiti;anti_graffiti;NOM
anti-gravité;anti_gravité;NOM
anti-grimaces;anti_grimace;NOM
anti-gros;anti_gros;ADJ
anti-hannetons;anti_hanneton;NOM
anti-hypertenseur;anti_hypertenseur;ADJ
anti-immigration;anti_immigration;NOM
anti-immigrés;anti_immigré;ADJ
anti-impérialiste;anti_impérialiste;ADJ
anti-incendie;anti_incendie;NOM
anti-inertie;anti_inertie;NOM
anti-infectieux;anti_infectieux;ADJ
anti-inflammatoire;anti_inflammatoire;NOM
anti-insecte;anti_insecte;NOM
anti-insectes;anti_insecte;NOM
anti-instinct;anti_instinct;NOM
anti-insurrectionnel;anti_insurrectionnel;ADJ
anti-intimité;anti_intimité;NOM
anti-japon;anti_japon;NOM
anti-jeunes;anti_jeunes;ADJ
anti-mafia;anti_mafia;NOM
anti-maison;anti_maison;NOM
anti-manipulation;anti_manipulation;NOM
anti-manoir;anti_manoir;NOM
anti-mariage;anti_mariage;NOM
anti-matière;anti_matière;NOM
anti-matières;anti_matière;NOM
anti-mecs;anti_mec;NOM
anti-militariste;anti_militariste;NOM
anti-missiles;anti_missile;NOM
anti-mite;anti_mite;NOM
anti-mites;anti_mite;NOM
anti-monde;anti_monde;NOM
anti-monstres;anti_monstre;ADJ
anti-moustique;anti_moustique;NOM
anti-moustiques;anti_moustique;NOM
anti-médicaments;anti_médicament;NOM
anti-métaphysique;anti_métaphysique;ADJ
anti-météorites;anti_météorite;NOM
anti-nausée;anti_nausée;NOM
anti-navire;anti_navire;NOM
anti-nucléaire;anti_nucléaire;ADJ
anti-nucléaires;anti_nucléaire;ADJ
anti-nucléaires;anti_nucléaire;NOM
anti-odeur;anti_odeur;NOM
anti-odeurs;anti_odeur;NOM
anti-odorants;anti_odorant;ADJ
anti-origine;anti_origine;NOM
anti-panache;anti_panache;NOM
anti-particule;anti_particule;NOM
anti-pasteur;anti_pasteur;NOM
anti-patriote;anti_patriote;NOM
anti-patriotique;anti_patriotique;ADJ
anti-pelliculaire;anti_pelliculaire;ADJ
anti-piratage;anti_piratage;NOM
anti-pirate;anti_pirate;ADJ
anti-poison;anti_poison;NOM
anti-poisse;anti_poisse;NOM
anti-pollution;anti_pollution;NOM
anti-poux;anti_poux;NOM
anti-progressistes;anti_progressiste;NOM
anti-psychotique;anti_psychotique;ADJ
anti-pub;anti_pub;NOM
anti-puces;anti_puce;NOM
anti-pédérastiques;anti_pédérastique;ADJ
anti-racket;anti_racket;NOM
anti-radiations;anti_radiation;NOM
anti-rapt;anti_rapt;NOM
anti-reflets;anti_reflet;NOM
anti-rejet;anti_rejet;NOM
anti-religion;anti_religion;NOM
anti-rhume;anti_rhume;NOM
anti-rides;anti_ride;NOM
anti-romain;anti_romain;NOM
anti-romantique;anti_romantique;ADJ
anti-rouille;anti_rouille;NOM
anti-russe;anti_russe;ADJ
anti-sida;anti_sida;NOM
anti-socialistes;anti_socialiste;ADJ
anti-sociaux;anti_sociaux;ADJ
anti-société;anti_société;NOM
anti-somnolence;anti_somnolence;NOM
anti-souffle;anti_souffle;NOM
anti-sous-marin;anti_sous_marin;ADJ
anti-soviétique;anti_soviétique;ADJ
anti-stress;anti_stress;NOM
anti-syndical;anti_syndical;ADJ
anti-sèche;anti_sèche;ADJ
anti-sèches;anti_sèche;ADJ
anti-sémite;anti_sémite;ADJ
anti-sémites;anti_sémite;ADJ
anti-sémitisme;anti_sémitisme;NOM
anti-tabac;anti_tabac;ADJ
anti-taches;anti_tache;NOM
anti-tank;anti_tank;NOM
anti-tapisserie;anti_tapisserie;NOM
anti-temps;anti_temps;NOM
anti-tension;anti_tension;NOM
anti-terrorisme;anti_terrorisme;NOM
anti-terroriste;anti_terroriste;ADJ
anti-tornades;anti_tornade;NOM
anti-toux;anti_toux;NOM
anti-truie;anti_truie;NOM
anti-trusts;anti_trust;NOM
anti-venin;anti_venin;NOM
anti-vieillissement;anti_vieillissement;NOM
anti-viol;anti_viol;NOM
anti-violence;anti_violence;NOM
anti-viral;anti_viral;ADJ
anti-virus;anti_virus;NOM
anti-vol;anti_vol;NOM
anti-vols;anti_vol;NOM
anti-âge;anti_âge;ADJ
anti-émeute;anti_émeute;ADJ
anti-émeutes;anti_émeute;ADJ
anti-émotionnelle;anti_émotionnelle;ADJ
anti-évasion;anti_évasion;NOM
appareil-photo;appareil_photo;NOM
appartement-roi;appartement_roi;NOM
apprenti-pilote;apprenti_pilote;NOM
apprenti-sorcier;apprenti_sorcier;NOM
appui-main;appui_main;NOM
appui-tête;appui_tête;NOM
appuie-tête;appuie_tête;NOM
après-coup;après_coup;NOM
après-demain;après_demain;ADV
après-déjeuner;après_déjeuner;VER
après-dîner;après_dîner;NOM
après-dîners;après_dîner;NOM
après-guerre;après_guerre;NOM
après-mort;après_mort;NOM
après-rasage;après_rasage;NOM
après-repas;après_repas;NOM
après-shampoing;après_shampoing;NOM
après-shampooing;après_shampooing;NOM
après-ski;après_ski;NOM
après-vente;après_vente;ADJ
araignée-crabe;araignée_crabe;NOM
arbres-refuges;arbres_refuge;NOM
arc-bouta;arc_bouter;VER
arc-boutais;arc_bouter;VER
arc-boutait;arc_bouter;VER
arc-boutant;arc_boutant;NOM
arc-boutants;arc_boutant;NOM
arc-boute;arc_bouter;VER
arc-boutement;arc_boutement;NOM
arc-boutent;arc_bouter;VER
arc-bouter;arc_bouter;VER
arc-boutera;arc_bouter;VER
arc-boutèrent;arc_bouter;VER
arc-bouté;arc_bouter;VER
arc-boutée;arc_bouter;VER
arc-boutées;arc_bouter;VER
arc-boutés;arc_bouter;VER
arc-en-ciel;arc_en_ciel;NOM
archi-blet;archi_blet;ADJ
archi-chiants;archi_chiant;ADJ
archi-connu;archi_connu;ADJ
archi-connus;archi_connu;ADJ
archi-duchesse;archiduc;NOM
archi-dégueu;archi_dégueu;ADJ
archi-faux;archi_faux;ADJ
archi-libre;archi_libre;ADJ
archi-mortels;archi_mortels;NOM
archi-morts;archi_mort;NOM
archi-méfiance;archi_méfiance;NOM
archi-nul;archi_nul;NOM
archi-nuls;archi_nuls;NOM
archi-plein;archi_plein;NOM
archi-prouvé;archi_prouvé;ADJ
archi-prudent;archi_prudent;NOM
archi-ringard;archi_ringard;NOM
archi-sophistiquée;archi_sophistiqué;ADJ
archi-sèches;archi_sèche;ADJ
archi-usé;archi_usé;ADJ
archi-vieux;archi_vieux;ADJ
archiviste-paléographe;archiviste_paléographe;NOM
archivistes-paléographes;archiviste_paléographe;NOM
arcs-boutants;arc_boutant;NOM
arcs-en-ciel;arc_en_ciel;NOM
arme-miracle;arme_miracle;NOM
arrache-clou;arrache_clou;NOM
arrière-automne;arrière_automne;NOM
arrière-ban;arrière_ban;NOM
arrière-boutique;arrière_boutique;NOM
arrière-boutiques;arrière_boutique;NOM
arrière-cabinets;arrière_cabinet;NOM
arrière-cour;arrière_cour;NOM
arrière-cours;arrière_cour;NOM
arrière-cousin;arrière_cousin;NOM
arrière-cuisine;arrière_cuisine;NOM
arrière-cuisines;arrière_cuisine;NOM
arrière-fond;arrière_fond;NOM
arrière-garde;arrière_garde;NOM
arrière-gardes;arrière_garde;NOM
arrière-gorge;arrière_gorge;NOM
arrière-goût;arrière_goût;NOM
arrière-goûts;arrière_goût;NOM
arrière-grand-mère;arrière_grand_mère;NOM
arrière-grand-mères;arrière_grand_mère;NOM
arrière-grand-oncle;arrière_grand_oncle;NOM
arrière-grand-père;arrière_grand_père;NOM
arrière-grand-tante;arrière_grand_tante;NOM
arrière-grand-tantes;arrière_grand_tante;NOM
arrière-grands-mères;arrière_grand_mère;NOM
arrière-grands-parents;arrière_grand_parent;NOM
arrière-grands-pères;arrière_grand_père;NOM
arrière-loge;arrière_loge;NOM
arrière-magasin;arrière_magasin;NOM
arrière-main;arrière_main;NOM
arrière-monde;arrière_monde;NOM
arrière-neveux;arrière_neveux;NOM
arrière-pays;arrière_pays;NOM
arrière-pensée;arrière_pensée;NOM
arrière-pensées;arrière_pensée;NOM
arrière-petit-fils;arrière_petit_fils;NOM
arrière-petit-neveu;arrière_petit_neveu;NOM
arrière-petite-fille;arrière_petite_fille;NOM
arrière-petite-nièce;arrière_petite_nièce;NOM
arrière-petites-filles;arrière_petite_fille;NOM
arrière-petites-nièces;arrière_petite_nièce;NOM
arrière-petits-enfants;arrière_petit_enfant;NOM
arrière-petits-fils;arrière_petits_fils;NOM
arrière-petits-neveux;arrière_petits_neveux;NOM
arrière-plan;arrière_plan;NOM
arrière-plans;arrière_plan;NOM
arrière-saison;arrière_saison;NOM
arrière-salle;arrière_salle;NOM
arrière-salles;arrière_salle;NOM
arrière-train;arrière_train;NOM
arrière-trains;arrière_train;NOM
arrêt-buffet;arrêt_buffet;NOM
arrête-boeuf;arrête_boeuf;NOM
arrêts-buffet;arrêt_buffet;NOM
article-choc;article_choc;NOM
artiste-peintre;artiste_peintre;NOM
as-rois;as_rois;NOM
aspirateurs-traîneaux;aspirateurs_traîneaux;NOM
assa-foetida;assa_foetida;NOM
assurance-accidents;assurance_accidents;NOM
assurance-chômage;assurance_chômage;NOM
assurance-maladie;assurance_maladie;NOM
assurance-vie;assurance_vie;NOM
assurances-vie;assurance_vie;NOM
assureur-conseil;assureur_conseil;NOM
attaché-case;attaché_case;NOM
attachés-cases;attaché_case;NOM
attraction-vedette;attraction_vedette;NOM
attrape-couillon;attrape_couillon;NOM
attrape-couillons;attrape_couillon;NOM
attrape-mouche;attrape_mouche;NOM
attrape-mouches;attrape_mouche;NOM
attrape-nigaud;attrape_nigaud;NOM
au-dedans;au_dedans;ADV
au-dehors;au_dehors;ADV
au-delà;au_delà;ADV
au-dessous;au_dessous;ADV
au-dessus;au_dessus;PRE
au-devant;au_devant;ADV
audio-visuel;audio_visuel;ADJ
audio-visuelle;audiovisuel;ADJ
aujourd'hui;aujourd_hui;ADV
austro-hongrois;austro_hongrois;ADJ
austro-hongroises;austro_hongrois;ADJ
auto-adhésive;auto_adhésif;ADJ
auto-analyse;auto_analyse;NOM
auto-immun;auto_immun;ADJ
auto-immune;auto_immun;ADJ
auto-intoxication;auto_intoxication;NOM
auto-pilote;auto_pilote;NOM
auto-stop;auto_stop;NOM
auto-stoppeur;auto_stoppeur;NOM
auto-stoppeurs;auto_stoppeur;NOM
auto-stoppeuse;auto_stoppeur;NOM
auto-stoppeuses;auto_stoppeur;NOM
auto-tamponneuse;auto_tamponneuse;NOM
auto-tamponneuses;auto_tamponneuse;NOM
auto-école;auto_école;NOM
auto-érotisme;auto_érotisme;NOM
automobile-club;automobile_club;NOM
aux aguets;aux_aguets;ADV
avant-avant-dernier;avant_avant_dernier;NOM
avant-bec;avant_bec;NOM
avant-bras;avant_bras;NOM
avant-centre;avant_centre;NOM
avant-clous;avant_clou;NOM
avant-corps;avant_corps;NOM
avant-coureur;avant_coureur;ADJ
avant-coureurs;avant_coureur;ADJ
avant-courrière;avant_courrier;ADJ
avant-courrières;avant_courrier;NOM
avant-cours;avant_cour;NOM
avant-dernier;avant_dernier;ADJ
avant-dernière;avant_dernier;ADJ
avant-dîner;avant_dîner;NOM
avant-garde;avant_garde;NOM
avant-gardes;avant_garde;NOM
avant-gardiste;avant_gardiste;ADJ
avant-gardistes;avant_gardiste;ADJ
avant-gauche;avant_gauche;ADJ
avant-goût;avant_goût;NOM
avant-guerre;avant_guerre;NOM
avant-hier;avant_hier;ADV
avant-monts;avant_mont;NOM
avant-papier;avant_papier;NOM
avant-plan;avant_plan;NOM
avant-port;avant_port;NOM
avant-poste;avant_poste;NOM
avant-postes;avant_poste;NOM
avant-première;avant_première;NOM
avant-premières;avant_première;NOM
avant-printemps;avant_printemps;NOM
avant-projet;avant_projet;NOM
avant-propos;avant_propos;NOM
avant-scène;avant_scène;NOM
avant-scènes;avant_scène;NOM
avant-toit;avant_toit;NOM
avant-toits;avant_toit;NOM
avant-train;avant_train;NOM
avant-trains;avant_train;NOM
avant-trou;avant_trou;NOM
avant-veille;avant_veille;NOM
aveugle-né;aveugle_né;NOM
aveugle-née;aveugle_né;NOM
avion-cargo;avion_cargo;NOM
avion-citerne;avion_citerne;NOM
avion-suicide;avion_suicide;NOM
avion-école;avion_école;NOM
avions-cargos;avion_cargo;NOM
avions-espions;avions_espions;NOM
avocat-conseil;avocat_conseil;NOM
ayants droit;ayants_droit;NOM
aye-aye;aye_aye;NOM
aéro-club;aéro_club;NOM
baby-boom;baby_boom;NOM
baby-foot;baby_foot;NOM
baby-sitter;baby_sitter;NOM
baby-sitters;baby_sitter;NOM
baby-sitting;baby_sitting;NOM
bachi-bouzouk;bachi_bouzouk;NOM
back up;back_up;NOM
bain-marie;bain_marie;NOM
bains-marie;bain_marie;NOM
baise-en-ville;baise_en_ville;NOM
balai-brosse;balai_brosse;NOM
balais-brosses;balai_brosse;NOM
ball-trap;ball_trap;NOM
balle-peau;balle_peau;ONO
ballon-sonde;ballon_sonde;NOM
banc-titre;banc_titre;NOM
bande-annonce;bande_annonce;NOM
bande-son;bande_son;NOM
bandes-annonces;bande_annonce;NOM
bank-note;bank_note;NOM
bank-notes;bank_note;NOM
bar-hôtel;bar_hôtel;NOM
bar-mitsva;bar_mitsva;NOM
bar-restaurant;bar_restaurant;NOM
bar-tabac;bar_tabac;NOM
barbe-de-capucin;barbe_de_capucin;NOM
bas-bleu;bas_bleu;NOM
bas-bleus;bas_bleu;NOM
bas-côté;bas_côté;NOM
bas-côtés;bas_côté;NOM
bas-empire;bas_empire;NOM
bas-flanc;bas_flanc;NOM
bas-fond;bas_fond;NOM
bas-fonds;bas_fond;NOM
bas-relief;bas_relief;NOM
bas-reliefs;bas_relief;NOM
bas-ventre;bas_ventre;NOM
base-ball;base_ball;NOM
basket-ball;basket_ball;NOM
basse-cour;basse_cour;NOM
basse-fosse;basse_fosse;NOM
basse-taille;basse_taille;NOM
basses-cours;basse_cour;NOM
basses-fosses;basse_fosse;NOM
bat-flanc;bat_flanc;NOM
bat-l'eau;bat_l_eau;NOM
bateau-citerne;bateau_citerne;NOM
bateau-lavoir;bateau_lavoir;NOM
bateau-mouche;bateau_mouche;NOM
bateau-pilote;bateau_pilote;NOM
bateau-pompe;bateau_pompe;NOM
bateaux-lavoirs;bateau_lavoir;NOM
bateaux-mouches;bateau_mouche;NOM
battle-dress;battle_dress;NOM
be-bop;be_bop;NOM
beat generation;beat_generation;NOM
beau-fils;beau_fils;NOM
beau-frère;beau_frère;NOM
beau-papa;beau_papa;NOM
beau-parent;beau_parent;NOM
beau-père;beau_père;NOM
beaux-arts;beaux_arts;NOM
beaux-enfants;beaux_enfants;NOM
beaux-fils;beau_fils;NOM
beaux-frères;beau_frère;NOM
beaux-parents;beaux_parents;NOM
bec-de-cane;bec_de_cane;NOM
bec-de-lièvre;bec_de_lièvre;NOM
bel canto;bel_canto;NOM
belle lurette;belle_lurette;NOM
belle-doche;belle_doche;NOM
belle-famille;belle_famille;NOM
belle-fille;belle_fille;NOM
belle-maman;belle_maman;NOM
belle-mère;beau_père;NOM
belle-soeur;beau_frère;NOM
belle-à-voir;belle_à_voir;NOM
belles-de-jour;belle_de_jour;NOM
belles-de-nuit;belle_de_nuit;NOM
belles-familles;belle_famille;NOM
belles-filles;belle_fille;NOM
belles-lettres;belle_lettre;NOM
belles-mères;beau_père;NOM
belles-soeurs;beau_frère;NOM
bernard-l'ermite;bernard_l_ermite;NOM
bernard-l'hermite;bernard_l_hermite;NOM
best of;best_of;NOM
best-seller;best_seller;NOM
best-sellers;best_seller;NOM
bien-aimé;bien_aimé;NOM
bien-aimée;bien_aimé;NOM
bien-aimées;bien_aimé;ADJ
bien-aimés;bien_aimé;ADJ
bien-disants;bien_disant;ADJ
bien-fonds;bien_fonds;NOM
bien-fondé;bien_fondé;NOM
bien-manger;bien_manger;NOM
bien-pensant;bien_pensant;ADJ
bien-pensante;bien_pensant;ADJ
bien-pensants;bien_pensant;ADJ
bien-portant;bien_portant;ADJ
bien-portants;bien_portant;ADJ
bien-être;bien_être;NOM
