dic_mot;dic_norm;dic_morpho
by-pass;by_pass;NOM
bye-bye;bye_bye;ONO
bébés-éprouvette;bébé_éprouvette;NOM
c'est-à-dire;c_est_à_dire;ADV
cache-brassière;cache_brassière;NOM
cache-cache;cache_cache;NOM
cache-coeur;cache_coeur;NOM
cache-col;cache_col;NOM
cache-corset;cache_corset;NOM
cache-nez;cache_nez;NOM
cache-pot;cache_pot;NOM
cache-pots;cache_pot;NOM
cache-poussière;cache_poussière;NOM
cache-sexe;cache_sexe;NOM
cache-tampon;cache_tampon;NOM
café-concert;café_concert;NOM
café-crème;café_crème;NOM
café-hôtel;café_hôtel;NOM
café-restaurant;café_restaurant;NOM
café-tabac;café_tabac;NOM
café-théâtre;café_théâtre;NOM
cafés-concerts;café_concert;NOM
cahin-caha;cahin_caha;ADV
cake-walk;cake_walk;NOM
cale-pied;cale_pied;NOM
cale-pieds;cale_pied;NOM
call girl;call_girl;NOM
call girls;call_girl;NOM
call-girl;call_girl;NOM
call-girls;call_girl;NOM
camion-benne;camion_benne;NOM
camion-citerne;camion_citerne;NOM
camion-grue;camion_grue;NOM
camions-bennes;camion_benne;NOM
camions-citernes;camion_citerne;NOM
camping-car;camping_car;NOM
camping-cars;camping_car;NOM
camping-gaz;camping_gaz;NOM
caméra-espion;caméra_espion;NOM
canadian river;canadian_river;NOM
canapé-lit;canapé_lit;NOM
canapés-lits;canapé_lit;NOM
canne-épée;canne_épée;NOM
cannes-épées;canne_épée;NOM
cap-hornier;cap_hornier;NOM
capital-risque;capital_risque;NOM
caporal-chef;caporal_chef;NOM
caput mortuum;caput_mortuum;NOM
cardinal-archevêque;cardinal_archevêque;NOM
cardinal-légat;cardinal_légat;NOM
cardio-pulmonaire;cardio_pulmonaire;ADJ
cardio-respiratoire;cardio_respiratoire;ADJ
cardio-vasculaire;cardio_vasculaire;ADJ
carte-clé;carte_clé;NOM
carte-lettre;carte_lettre;NOM
cartes-lettres;carte_lettre;NOM
carton-pâte;carton_pâte;NOM
carême-prenant;carême_prenant;NOM
casse-bonbons;casse_bonbon;NOM
casse-burnes;casse_burnes;NOM
casse-cou;casse_cou;ADJ
casse-couilles;casse_couilles;NOM
casse-croûte;casse_croûte;NOM
casse-croûtes;casse_croûte;NOM
casse-cul;casse_cul;ADJ
casse-dalle;casse_dalle;NOM
casse-dalles;casse_dalle;NOM
casse-graine;casse_graine;NOM
casse-gueule;casse_gueule;NOM
casse-noisette;casse_noisette;NOM
casse-noisettes;casse_noisettes;NOM
casse-noix;casse_noix;NOM
casse-pattes;casse_pattes;NOM
casse-pieds;casse_pieds;ADJ
casse-pipe;casse_pipe;NOM
casse-pipes;casse_pipes;NOM
casse-tête;casse_tête;NOM
casus belli;casus_belli;NOM
celle-ci;celle_ci;PRO:dem
celle-là;celle_là;PRO:dem
celles-ci;celles_ci;PRO:dem
celles-là;celles_là;PRO:dem
celui-ci;celui_ci;PRO:dem
celui-là;celui_là;PRO:dem
centre-ville;centre_ville;NOM
cerf-roi;cerf_roi;NOM
cerf-volant;cerf_volant;NOM
cerfs-volants;cerf_volant;NOM
cessez-le-feu;cessez_le_feu;NOM
ceux-ci;ceux_ci;PRO:dem
ceux-là;ceux_là;PRO:dem
ch'timi;ch_timi;ADJ
ch'timis;ch_timi;NOM
cha-cha-cha;cha_cha_cha;NOM
chalutier-patrouilleur;chalutier_patrouilleur;NOM
chambre-salon;chambre_salon;NOM
champ';champ;NOM
champs élysées;champs_élysées;NOM
chanteuse-vedette;chanteuse_vedette;NOM
chapiteaux-dortoirs;chapiteau_dortoir;NOM
chasse-d'eau;chasse_d_eau;NOM
chasse-goupilles;chasse_goupille;NOM
chasse-mouche;chasse_mouche;NOM
chasse-mouches;chasse_mouches;NOM
chasse-neige;chasse_neige;NOM
chasse-pierres;chasse_pierres;NOM
chassé-croisé;chassé_croisé;NOM
chassés-croisés;chassé_croisé;NOM
chat-huant;chat_huant;NOM
chat-tigre;chat_tigre;NOM
chaud-froid;chaud_froid;NOM
chaude-pisse;chaude_pisse;NOM
chaudes-pisses;chaude_pisse;NOM
chauds-froids;chaud_froid;NOM
chauffe-biberon;chauffe_biberon;NOM
chauffe-eau;chauffe_eau;NOM
chauffe-plats;chauffe_plats;NOM
chauffeur-livreur;chauffeur_livreur;NOM
chausse-pied;chausse_pied;NOM
chausse-trape;chausse_trape;NOM
chausse-trapes;chausse_trape;NOM
chausse-trappe;chausse_trappe;NOM
chauve-souris;chauve_souris;NOM
chauves-souris;chauve_souris;NOM
check up;check_up;NOM
check-list;check_list;NOM
check-up;check_up;NOM
cheese-cake;cheese_cake;NOM
cheese-cakes;cheese_cake;NOM
chef-adjoint;chef_adjoint;NOM
chef-d'oeuvre;chef_d_oeuvre;NOM
chef-d'oeuvres;chef_d_oeuvres;NOM
chef-lieu;chef_lieu;NOM
chefs-d'oeuvre;chef_d_oeuvre;NOM
chefs-lieux;chefs_lieux;NOM
cherche-midi;cherche_midi;NOM
cheval-vapeur;cheval_vapeur;NOM
chevau-léger;chevau_léger;NOM
chevaux-vapeur;cheval_vapeur;NOM
chewing gum;chewing_gum;NOM
chewing-gum;chewing_gum;NOM
chewing-gums;chewing_gum;NOM
chez-soi;chez_soi;NOM
chic-type;chic_type;ADJ
chiche-kebab;chiche_kebab;NOM
chien-assis;chien_assis;NOM
chien-loup;chien_loup;NOM
chien-robot;chien_robot;NOM
chien-étoile;chien_étoile;NOM
chiens-loups;chien_loup;NOM
chiffres-clés;chiffres_clé;NOM
chirurgien-dentiste;chirurgien_dentiste;NOM
chop suey;chop_suey;NOM
chou-fleur;chou_fleur;NOM
chou-palmiste;chou_palmiste;NOM
chou-rave;chou_rave;NOM
choux-fleurs;choux_fleurs;NOM
choux-raves;choux_raves;NOM
chrétien-démocrate;chrétien_démocrate;ADJ
chrétiens-démocrates;chrétien_démocrate;ADJ
château-fort;château_fort;NOM
chèque-cadeau;chèque_cadeau;NOM
chèvre-pied;chèvre_pied;NOM
chêne-liège;chêne_liège;NOM
chênes-lièges;chêne_liège;NOM
ci-après;ci_après;ADV
ci-contre;ci_contre;ADV
ci-dessous;ci_dessous;ADV
ci-dessus;ci_dessus;ADV
ci-gît;ci_gît;ADV
ci-inclus;ci_inclus;ADJ
ci-incluse;ci_inclus;ADJ
ci-incluses;ci_inclus;ADJ
ci-joint;ci_joint;ADJ
ci-jointe;ci_joint;ADJ
ci-joints;ci_joint;ADJ
cinquante-cinq;cinquante_cinq;ADJ:num
cinquante-deux;cinquante_deux;ADJ:num
cinquante-huit;cinquante_huit;ADJ:num
cinquante-huitième;cinquante_huitième;ADJ
cinquante-neuf;cinquante_neuf;ADJ:num
cinquante-neuvième;cinquante_neuvième;ADJ
cinquante-quatre;cinquante_quatre;ADJ:num
cinquante-sept;cinquante_sept;ADJ:num
cinquante-septième;cinquante_septième;ADJ
cinquante-six;cinquante_six;ADJ:num
cinquante-sixième;cinquante_sixième;ADJ
cinquante-trois;cinquante_trois;ADJ:num
cinquante-troisième;cinquante_troisième;ADJ
ciné-club;ciné_club;NOM
ciné-clubs;ciné_club;NOM
ciné-roman;ciné_roman;NOM
cinéma-vérité;cinéma_vérité;NOM
circonscriptions-clés;circonscriptions_clé;NOM
citizen band;citizen_band;NOM
cité-dortoir;cité_dortoir;NOM
cité-jardin;cité_jardin;NOM
cités-dortoirs;cité_dortoir;NOM
clair-obscur;clair_obscur;NOM
claire-voie;claire_voie;NOM
claires-voies;claire_voie;NOM
clairs-obscurs;clair_obscur;NOM
claque-merde;claque_merde;NOM
clic-clac;clic_clac;ONO
client-roi;client_roi;NOM
clin-d'oeil;clin_d_oeil;NOM
cloche-pied;cloche_pied;NOM
clopin-clopant;clopin_clopant;ADV
close-combat;close_combat;NOM
close-up;close_up;NOM
club-house;club_house;NOM
co-animateur;co_animateur;NOM
co-auteur;co_auteur;NOM
co-avocat;co_avocat;NOM
co-capitaine;co_capitaine;NOM
co-dépendance;co_dépendance;NOM
co-dépendante;co_dépendant;ADJ
co-existence;co_existence;NOM
co-exister;co_exister;VER
co-habiter;co_habiter;VER
co-locataire;co_locataire;NOM
co-pilote;co_pilote;NOM
co-pilotes;co_pilote;ADJ
co-production;co_production;NOM
co-productions;co_production;NOM
co-proprio;co_proprio;NOM
co-proprios;co_proprio;NOM
co-propriétaire;co_propriétaire;NOM
co-propriétaires;co_propriétaire;NOM
co-propriété;co_propriété;NOM
co-président;co_président;NOM
co-responsable;co_responsable;ADJ
co-signer;co_signer;VER
co-signons;cosigner;VER
co-tuteur;co_tuteur;NOM
co-vedette;co_vedette;NOM
co-voiturage;co_voiturage;NOM
co-éducative;co_éducatif;ADJ
co-équipier;co_équipier;NOM
co-équipière;coéquipier;NOM
coca-cola;coca_cola;NOM
cocotte-minute;cocotte_minute;NOM
code-barre;code_barre;NOM
code-barres;code_barres;NOM
code-clé;code_clé;NOM
codes-clés;codes_clé;NOM
coeur-poumons;coeur_poumon;NOM
coffee shop;coffee_shop;NOM
coffre-fort;coffre_fort;NOM
coffres-forts;coffre_fort;NOM
coin-coin;coin_coin;NOM
coin-repas;coin_repas;NOM
col-de-cygne;col_de_cygne;NOM
col-vert;col_vert;NOM
cold-cream;cold_cream;NOM
colin-maillard;colin_maillard;NOM
colis-cadeau;colis_cadeau;NOM
colis-repas;colis_repas;NOM
cols-de-cygne;cols_de_cygne;NOM
cols-verts;col_vert;NOM
comic book;comic_book;NOM
comic books;comic_book;NOM
commandos-suicide;commando_suicide;NOM
commedia dell'arte;commedia_dell_arte;NOM
commis-voyageur;commis_voyageur;NOM
commis-voyageurs;commis_voyageur;NOM
commissaire-adjoint;commissaire_adjoint;NOM
commissaire-priseur;commissaire_priseur;NOM
commissaires-priseurs;commissaire_priseur;NOM
commode-toilette;commode_toilette;NOM
complet-veston;complet_veston;NOM
compte-fils;compte_fils;NOM
compte-gouttes;compte_gouttes;NOM
compte-rendu;compte_rendu;NOM
compte-tours;compte_tours;NOM
comptes-rendus;compte_rendu;NOM
conduite-intérieure;conduite_intérieure;NOM
conférences-débats;conférence_débat;NOM
contrat-type;contrat_type;NOM
contre-accusations;contre_accusation;NOM
contre-alizés;contre_alizé;NOM
contre-allée;contre_allée;NOM
contre-allées;contre_allée;NOM
contre-amiral;contre_amiral;NOM
contre-appel;contre_appel;NOM
contre-assurance;contre_assurance;NOM
contre-attaqua;contre_attaquer;VER
contre-attaquaient;contre_attaquer;VER
contre-attaquait;contre_attaquer;VER
contre-attaquant;contre_attaquer;VER
contre-attaque;contre_attaque;NOM
contre-attaquent;contre_attaquer;VER
contre-attaquer;contre_attaquer;VER
contre-attaquera;contre_attaquer;VER
contre-attaquerons;contre_attaquer;VER
contre-attaques;contre_attaque;NOM
contre-attaquons;contre_attaquer;VER
contre-attaquèrent;contre_attaquer;VER
contre-attaqué;contre_attaquer;VER
contre-champ;contre_champ;NOM
contre-chant;contre_chant;NOM
contre-chocs;contre_choc;NOM
contre-clés;contre_clé;NOM
contre-courant;contre_courant;NOM
contre-culture;contre_culture;NOM
contre-emploi;contre_emploi;NOM
contre-espionnage;contre_espionnage;NOM
contre-exemple;contre_exemple;NOM
contre-expertise;contre_expertise;NOM
contre-expertises;contre_expertise;NOM
contre-feu;contre_feu;NOM
contre-feux;contre_feux;NOM
contre-fiches;contre_fiche;NOM
contre-fil;contre_fil;NOM
contre-gré;contre_gré;NOM
contre-indication;contre_indication;NOM
contre-indications;contre_indication;NOM
contre-indiqué;contre_indiquer;VER
contre-interrogatoire;contre_interrogatoire;NOM
contre-interrogatoires;contre_interrogatoire;NOM
contre-jour;contre_jour;NOM
contre-la-montre;contre_la_montre;NOM
contre-lame;contre_lame;NOM
contre-lettre;contre_lettre;NOM
contre-manifestants;contre_manifestant;NOM
contre-manifestent;contre_manifester;VER
contre-mesure;contre_mesure;NOM
contre-mesures;contre_mesure;NOM
contre-mine;contre_mine;NOM
contre-mines;contre_mine;NOM
contre-miné;contre_miner;VER
contre-nature;contre_nature;ADJ
contre-offensive;contre_offensive;NOM
contre-offensives;contre_offensive;NOM
contre-ordre;contre_ordre;NOM
contre-ordres;contre_ordre;NOM
contre-pente;contre_pente;NOM
contre-performance;contre_performance;NOM
contre-performances;contre_performance;NOM
contre-pied;contre_pied;NOM
contre-pieds;contre_pied;NOM
contre-plaqué;contre_plaqué;NOM
contre-plongée;contre_plongée;NOM
contre-pouvoirs;contre_pouvoir;NOM
contre-pression;contre_pression;NOM
contre-productif;contre_productif;ADJ
contre-productive;contre_productif;ADJ
contre-propagande;contre_propagande;NOM
contre-proposition;contre_proposition;NOM
contre-propositions;contre_proposition;NOM
contre-réaction;contre_réaction;NOM
contre-réforme;contre_réforme;NOM
contre-révolution;contre_révolution;NOM
contre-révolutionnaire;contre_révolutionnaire;ADJ
contre-révolutionnaires;contre_révolutionnaire;ADJ
contre-terrorisme;contre_terrorisme;NOM
contre-terroriste;contre_terroriste;ADJ
contre-test;contre_test;NOM
contre-torpilleur;contre_torpilleur;NOM
contre-torpilleurs;contre_torpilleur;NOM
contre-transfert;contre_transfert;NOM
contre-ut;contre_ut;NOM
contre-voie;contre_voie;NOM
contre-vérité;contre_vérité;NOM
contre-épreuve;contre_épreuve;NOM
contre-épreuves;contre_épreuve;NOM
coolie-pousse;coolie_pousse;NOM
coq-à-l'âne;coq_à_l_âne;NOM
cordon-bleu;cordon_bleu;NOM
cordons-bleus;cordon_bleu;NOM
corn flakes;corn_flakes;NOM
corn-flakes;corn_flakes;NOM
corps-mort;corps_mort;NOM
corpus delicti;corpus_delicti;NOM
cosy-corner;cosy_corner;NOM
cosy-corners;cosy_corner;NOM
cot cot codec;cot_cot_codec;ONO
coton-tige;coton_tige;NOM
cotons-tiges;coton_tige;NOM
cou-de-pied;cou_de_pied;NOM
couche-culotte;couche_culotte;NOM
couches-culottes;couche_culotte;NOM
couci-couça;couci_couça;ADV
couloir-symbole;couloir_symbole;NOM
coup-de-poing;coup_de_poing;NOM
coupe-chou;coupe_chou;NOM
coupe-choux;coupe_choux;NOM
coupe-cigare;coupe_cigare;NOM
coupe-cigares;coupe_cigare;NOM
coupe-circuit;coupe_circuit;NOM
coupe-circuits;coupe_circuit;NOM
coupe-coupe;coupe_coupe;NOM
coupe-faim;coupe_faim;NOM
coupe-faims;coupe_faim;NOM
coupe-feu;coupe_feu;NOM
coupe-file;coupe_file;NOM
coupe-gorge;coupe_gorge;NOM
coupe-jarret;coupe_jarret;NOM
coupe-jarrets;coupe_jarret;NOM
coupe-ongle;coupe_ongle;NOM
coupe-ongles;coupe_ongles;NOM
coupe-papier;coupe_papier;NOM
coupe-pâte;coupe_pâte;NOM
coupe-racines;coupe_racine;NOM
coupe-vent;coupe_vent;NOM
coupon-cadeau;coupon_cadeau;NOM
coups-de-poing;coups_de_poing;NOM
cour-jardin;cour_jardin;NOM
course-poursuite;course_poursuite;NOM
court-bouillon;court_bouillon;NOM
court-circuit;court_circuit;NOM
court-circuitait;court_circuiter;VER
court-circuitant;court_circuiter;VER
court-circuite;court_circuiter;VER
court-circuiter;court_circuiter;VER
court-circuits;court_circuit;VER
court-circuits;court_circuits;NOM
court-circuité;court_circuiter;VER
court-circuitée;court_circuiter;VER
court-circuitées;court_circuiter;VER
court-courrier;court_courrier;NOM
court-jus;court_jus;NOM
court-métrage;court_métrage;NOM
court-vêtue;court_vêtu;ADJ
court-vêtues;court_vêtu;ADJ
courts-circuits;court_circuit;NOM
cous-de-pied;cous_de_pied;NOM
couteau-scie;couteau_scie;NOM
couvre-chef;couvre_chef;NOM
couvre-chefs;couvre_chef;NOM
couvre-feu;couvre_feu;NOM
couvre-feux;couvre_feux;NOM
couvre-lit;couvre_lit;NOM
couvre-lits;couvre_lit;NOM
couvre-pied;couvre_pied;NOM
couvre-pieds;couvre_pieds;NOM
cover-girl;cover_girl;NOM
cover-girls;cover_girl;NOM
cow-boy;cow_boy;NOM
cow-boys;cow_boy;NOM
crapaud-buffle;crapaud_buffle;NOM
crapauds-buffles;crapaud_buffle;NOM
crash-test;crash_test;NOM
crayon-encre;crayon_encre;NOM
crayons-feutres;crayon_feutre;NOM
cric-crac;cric_crac;ONO
cris-craft;cris_craft;NOM
croa croa;croa_croa;ADV
croa-croa;croa_croa;ADV
croc-en-jambe;croc_en_jambe;NOM
croche-patte;croche_patte;NOM
croche-pied;croche_pied;NOM
croche-pieds;croche_pied;NOM
crocs-en-jambe;crocs_en_jambe;NOM
croque-madame;croque_madame;NOM
croque-mitaine;croque_mitaine;NOM
croque-monsieur;croque_monsieur;NOM
croque-mort;croque_mort;NOM
croque-morts;croque_mort;NOM
croquis-minute;croquis_minute;NOM
cross-country;cross_country;NOM
crédit-bail;crédit_bail;NOM
crêtes-de-coq;crêtes_de_coq;NOM
cui-cui;cui_cui;NOM
cuisse-madame;cuisse_madame;NOM
cul-blanc;cul_blanc;NOM
cul-bénit;cul_bénit;NOM
cul-cul;cul_cul;ADJ
cul-de-basse-fosse;cul_de_basse_fosse;NOM
cul-de-four;cul_de_four;NOM
cul-de-jatte;cul_de_jatte;NOM
cul-de-lampe;cul_de_lampe;NOM
cul-de-plomb;cul_de_plomb;NOM
cul-de-porc;cul_de_porc;NOM
cul-de-poule;cul_de_poule;NOM
cul-de-sac;cul_de_sac;NOM
cul-terreux;cul_terreux;NOM
culs-blancs;cul_blanc;NOM
culs-bénits;cul_bénit;NOM
culs-de-basse-fosse;culs_de_basse_fosse;NOM
culs-de-jatte;cul_de_jatte;NOM
culs-de-lampe;cul_de_lampe;NOM
culs-de-sac;cul_de_sac;NOM
culs-terreux;cul_terreux;NOM
cumulo-nimbus;cumulo_nimbus;NOM
cure-dent;cure_dent;NOM
cure-dents;cure_dent;NOM
cure-pipe;cure_pipe;NOM
cure-pipes;cure_pipe;NOM
curriculum vitae;curriculum_vitae;NOM
cuti-réaction;cuti_réaction;NOM
cyclo-cross;cyclo_cross;NOM
cyclo-pousse;cyclo_pousse;NOM
céphalo-rachidien;céphalo_rachidien;ADJ
cérébro-spinale;cérébro_spinal;ADJ
côtes-du-rhône;côtes_du_rhône;NOM
d'abord;d_abord;ADV
d'emblée;d_emblée;ADV
d'ores et déjà;d_ores_et_déjà;ADV
dalaï-lama;dalaï_lama;NOM
dame-jeanne;dame_jeanne;NOM
dames-jeannes;dame_jeanne;NOM
dare dare;dare_dare;ADV
dare-dare;dare_dare;ADV
de amicis;de_amicis;NOM
de auditu;de_auditu;ADV
de facto;de_facto;ADV
de guingois;de_guingois;ADV
de plano;de_plano;ADV
de profundis;de_profundis;NOM
de santis;de_santis;NOM
de traviole;de_traviole;ADV
de visu;de_visu;ADV
delirium tremens;delirium_tremens;NOM
della francesca;della_francesca;NOM
della porta;della_porta;NOM
della robbia;della_robbia;NOM
delta-plane;delta_plane;NOM
demi-barbare;demi_barbare;NOM
demi-bas;demi_bas;NOM
demi-bonheur;demi_bonheur;NOM
demi-bottes;demi_botte;NOM
demi-bouteille;demi_bouteille;NOM
demi-brigade;demi_brigade;NOM
demi-brigades;demi_brigade;NOM
demi-cent;demi_cent;NOM
demi-centimètre;demi_centimètre;NOM
demi-centre;demi_centre;NOM
demi-cercle;demi_cercle;NOM
demi-cercles;demi_cercle;NOM
demi-chagrin;demi_chagrin;NOM
demi-clair;demi_clair;NOM
demi-clarté;demi_clarté;NOM
demi-cloison;demi_cloison;NOM
demi-coma;demi_coma;NOM
demi-confidence;demi_confidence;NOM
demi-conscience;demi_conscience;NOM
demi-cylindre;demi_cylindre;NOM
demi-degré;demi_degré;NOM
demi-deuil;demi_deuil;NOM
demi-dieu;demi_dieu;NOM
demi-dieux;demi_dieux;NOM
demi-dose;demi_dose;NOM
demi-douzaine;demi_douzaine;NOM
demi-dévêtu;demi_dévêtu;ADJ
demi-dévêtue;demi_dévêtu;ADJ
demi-figure;demi_figure;NOM
demi-finale;demi_finale;NOM
demi-finales;demi_finale;NOM
demi-finaliste;demi_finaliste;NOM
demi-fond;demi_fond;NOM
demi-fou;demi_fou;NOM
demi-fous;demi_fou;NOM
demi-frère;demi_frère;NOM
demi-frères;demi_frère;NOM
demi-gros;demi_gros;NOM
demi-heure;demi_heure;NOM
demi-heures;heur;NOM
demi-jour;demi_jour;NOM
demi-journée;demi_journée;NOM
demi-journées;demi_journée;NOM
demi-juif;demi_juif;NOM
demi-kilomètre;demi_kilomètre;NOM
demi-liberté;demi_liberté;NOM
demi-lieue;demi_lieue;NOM
demi-litre;demi_litre;NOM
demi-livre;demi_livre;NOM
demi-longueur;demi_longueur;NOM
demi-louis;demi_louis;NOM
demi-lueur;demi_lueur;NOM
demi-lumière;demi_lumière;NOM
demi-lune;demi_lune;NOM
demi-lunes;demi_lune;NOM
demi-luxe;demi_luxe;NOM
demi-mal;demi_mal;NOM
demi-mensonge;demi_mensonge;NOM
demi-mesure;demi_mesure;NOM
demi-mesures;demi_mesure;NOM
demi-mille;demi_mille;NOM
demi-milliard;demi_milliard;NOM
demi-millimètre;demi_millimètre;NOM
demi-million;demi_million;NOM
demi-minute;demi_minute;NOM
demi-mois;demi_mois;NOM
demi-mondaine;demi_mondain;NOM
demi-mondaines;demi_mondain;NOM
demi-monde;demi_monde;NOM
demi-mort;demi_mort;NOM
demi-morte;demi_mort;NOM
demi-morts;demi_mort;NOM
demi-mot;demi_mot;NOM
demi-muid;demi_muid;NOM
demi-mètre;demi_mètre;NOM
demi-nu;demi_nu;ADV
demi-nuit;demi_nuit;NOM
demi-obscurité;demi_obscurité;NOM
demi-ouverte;demi_ouvert;ADJ
demi-ouvrier;demi_ouvrier;NOM
demi-page;demi_page;NOM
demi-paralysé;demi_paralysé;ADJ
demi-part;demi_part;NOM
demi-pas;demi_pas;NOM
demi-pension;demi_pension;NOM
demi-pensionnaire;demi_pensionnaire;NOM
demi-pensionnaires;demi_pensionnaire;NOM
demi-personne;demi_personne;ADJ
demi-pied;demi_pied;NOM
demi-pinte;demi_pinte;NOM
demi-pièce;demi_pièce;NOM
demi-place;demi_place;NOM
demi-plein;demi_plein;ADJ
demi-point;demi_point;NOM
demi-pointes;demi_pointe;NOM
demi-porte;demi_porte;NOM
demi-portion;demi_portion;NOM
demi-portions;demi_portion;NOM
demi-pouce;demi_pouce;ADJ
demi-quart;demi_quart;NOM
demi-queue;demi_queue;NOM
demi-ronde;demi_rond;NOM
demi-réussite;demi_réussite;NOM
demi-révérence;demi_révérence;NOM
demi-rêve;demi_rêve;NOM
demi-saison;demi_saison;NOM
demi-saisons;demi_saison;NOM
demi-sang;demi_sang;NOM
demi-sangs;demi_sang;NOM
demi-seconde;demi_seconde;NOM
demi-section;demi_section;NOM
demi-sel;demi_sel;NOM
demi-sels;demi_sel;NOM
demi-siècle;demi_siècle;NOM
demi-siècles;demi_siècle;NOM
demi-soeur;demi_soeur;NOM
demi-soeurs;demi_soeur;NOM
demi-solde;demi_solde;NOM
demi-soldes;demi_solde;NOM
demi-sommeil;demi_sommeil;NOM
demi-sommeils;demi_sommeil;NOM
demi-somnolence;demi_somnolence;NOM
demi-sourire;demi_sourire;NOM
demi-sourires;demi_sourire;NOM
demi-succès;demi_succès;NOM
demi-suicide;demi_suicide;NOM
demi-talent;demi_talent;NOM
demi-tarif;demi_tarif;NOM
demi-tasse;demi_tasse;NOM
demi-teinte;demi_teinte;NOM
demi-teintes;demi_teinte;NOM
demi-ton;demi_ton;NOM
demi-tonne;demi_ton;NOM
demi-tonneau;demi_tonneau;NOM
demi-tons;demi_ton;NOM
demi-tour;demi_tour;NOM
demi-tours;demi_tour;NOM
demi-tête;demi_tête;NOM
demi-verre;demi_verre;NOM
demi-vertu;demi_vertu;NOM
demi-vie;demi_vie;NOM
demi-vierge;demi_vierge;NOM
demi-vierges;demi_vierge;NOM
demi-vies;demi_vie;NOM
demi-volte;demi_volte;NOM
demi-voltes;demi_volte;NOM
demi-volume;demi_volume;NOM
demi-volée;demi_volée;NOM
demi-vérité;demi_vérité;NOM
demi-échec;demi_échec;NOM
dent-de-lion;dent_de_lion;NOM
deo gratias;deo_gratias;NOM
dernier-né;dernier_né;NOM
derniers-nés;dernier_né;NOM
dernière-née;dernière_née;NOM
dessous-de-bras;dessous_de_bras;NOM
dessous-de-plat;dessous_de_plat;NOM
dessous-de-table;dessous_de_table;NOM
dessous-de-verre;dessous_de_verre;NOM
dessus-de-lit;dessus_de_lit;NOM
deus ex machina;deus_ex_machina;NOM
deutsche mark;deutsche_mark;ADJ
deux-chevaux;deux_chevaux;NOM
deux-deux;deux_deux;NOM
deux-mâts;deux_mâts;NOM
deux-pièces;deux_pièces;NOM
deux-points;deux_points;NOM
deux-ponts;deux_ponts;NOM
deux-quatre;deux_quatre;NOM
deux-roues;deux_roues;NOM
dies irae;dies_irae;NOM
dieu-roi;dieu_roi;NOM
dignus est intrare;dignus_est_intrare;ADV
directeur-adjoint;directeur_adjoint;NOM
disc-jockey;disc_jockey;NOM
disc-jockeys;disc_jockey;NOM
disciple-roi;disciple_roi;NOM
disque-jockey;disque_jockey;NOM
dix-cors;dix_cors;NOM
dix-huit;dix_huit;ADJ:num
dix-huitième;dix_huitième;NOM
dix-neuf;dix_neuf;ADJ:num
dix-neuvième;dix_neuvième;ADJ
dix-sept;dix_sept;ADJ:num
dix-septième;dix_septième;ADJ
dog-cart;dog_cart;NOM
dommages-intérêts;dommages_intérêts;NOM
donnant-donnant;donnant_donnant;ADV
dos-d'âne;dos_d_âne;NOM
double-cliquer;double_cliquer;VER
double-cliqué;double_cliquer;VER
double-croche;double_croche;NOM
double-décimètre;double_décimètre;NOM
double-fond;double_fond;NOM
double-six;double_six;NOM
douce-amère;douce_amère;ADJ
douces-amères;douce_amère;NOM
doux-amer;doux_amer;ADJ
downing street;downing_street;NOM
dream team;dream_team;NOM
dressing-room;dressing_room;NOM
drive-in;drive_in;NOM
droit-fil;droit_fil;NOM
drone-espion;drone_espion;NOM
ducs-d'albe;duc_d_albe;NOM
duffel-coat;duffel_coat;NOM
duffle-coat;duffle_coat;NOM
duffle-coats;duffle_coat;NOM
dum-dum;dum_dum;ADJ
dure-mère;dure_mère;NOM
décision-clé;décision_clé;NOM
décret-loi;décret_loi;NOM
décrochez-moi-ça;décrochez_moi_ça;NOM
déjà-vu;déjà_vu;NOM
délégué-général;délégué_général;ADJ
délégué-général;délégué_général;NOM
démocrate-chrétien;démocrate_chrétien;ADJ
démocrates-chrétiens;démocrate_chrétien;NOM
démonte-pneu;démonte_pneu;NOM
démonte-pneus;démonte_pneu;NOM
député-maire;député_maire;NOM
dépôt-vente;dépôt_vente;NOM
déshabillage-éclair;déshabillage_éclair;NOM
détective-conseil;détective_conseil;NOM
détectives-conseils;détective_conseil;NOM
e-commerce;e_commerce;NOM
e-mail;e_mail;NOM
e-mails;e_mail;NOM
east river;east_river;NOM
eau-de-vie;eau_de_vie;NOM
eau-forte;eau_forte;NOM
eau-minute;eau_minute;NOM
eaux-de-vie;eau_de_vie;NOM
eaux-fortes;eaux_fortes;NOM
ecce homo;ecce_homo;ADV
elle-même;elle_même;PRO:per
elles-mêmes;elles_mêmes;PRO:per
emporte-pièce;emporte_pièce;NOM
en catimini;en_catimini;ADV
en loucedé;en_loucedé;ADV
en tapinois;en_tapinois;ADV
en-avant;en_avant;NOM
en-but;en_but;NOM
en-cas;en_cas;NOM
en-cours;en_cours;NOM
en-dehors;en_dehors;NOM
en-tête;en_tête;NOM
en-têtes;en_tête;NOM
enfant-robot;enfant_robot;NOM
enfant-roi;enfant_roi;NOM
enfants-robots;enfant_robot;NOM
enfants-rois;enfant_roi;NOM
enquêtes-minute;enquête_minute;NOM
enseignant-robot;enseignant_robot;NOM
entr'acte;entr_acte;NOM
entr'actes;entr_acte;NOM
entr'aimer;entr_aimer;VER
entr'apercevoir;entr_apercevoir;VER
entr'aperçu;entr_apercevoir;VER
